ano,geocod,regiao,nivel,quartil,preco_m2
2022,11D1711,Santa Marta de Penaguião,Concelho,2.º quartil,408.0
2022,11D1714,Vila Real,Concelho,2.º quartil,1198.0
2022,11D1801,Armamar,Concelho,2.º quartil,203.0
2022,11D1805,Lamego,Concelho,2.º quartil,766.0
2022,11D1807,Moimenta da Beira,Concelho,2.º quartil,368.0
2022,11D1812,Penedono,Concelho,2.º quartil,
2022,1960904,Figueira de Castelo Rodrigo,Concelho,2.º quartil,192.0
2022,1960905,Fornos de Algodres,Concelho,2.º quartil,218.0
2022,1960906,Gouveia,Concelho,2.º quartil,416.0
2022,1960907,Guarda,Concelho,2.º quartil,746.0
2022,1960908,Manteigas,Concelho,2.º quartil,366.0
2022,1960909,Mêda,Concelho,2.º quartil,234.0
2022,1960910,Pinhel,Concelho,2.º quartil,264.0
2022,1960911,Sabugal,Concelho,2.º quartil,297.0
2022,1960912,Seia,Concelho,2.º quartil,489.0
2022,1960913,Trancoso,Concelho,2.º quartil,345.0
2022,1A01106,Lisboa,Concelho,2.º quartil,3872.0
2022,1A,Grande Lisboa,NUTS II,2.º quartil,2454.0
2022,1A0,Grande Lisboa,NUTS III,2.º quartil,2454.0
2022,11C1305,Lousada,Concelho,2.º quartil,897.0
2022,11C1301,Amarante,Concelho,2.º quartil,928.0
2022,11C1302,Baião,Concelho,2.º quartil,700.0
2022,11C1303,Felgueiras,Concelho,2.º quartil,848.0
2022,11C1307,Marco de Canaveses,Concelho,2.º quartil,860.0
2022,11C1309,Paços de Ferreira,Concelho,2.º quartil,965.0
2022,11C1311,Penafiel,Concelho,2.º quartil,915.0
2022,11C1804,Cinfães,Concelho,2.º quartil,466.0
2022,11C1813,Resende,Concelho,2.º quartil,408.0
2022,11D,Douro,NUTS III,2.º quartil,653.0
2022,1A01105,Cascais,Concelho,2.º quartil,3473.0
2022,1A01107,Loures,Concelho,2.º quartil,2155.0
2022,1A01109,Mafra,Concelho,2.º quartil,2065.0
2022,1A01110,Oeiras,Concelho,2.º quartil,3001.0
2022,1A01111,Sintra,Concelho,2.º quartil,1816.0
2022,1A01114,Vila Franca de Xira,Concelho,2.º quartil,1750.0
2022,1C,Alentejo,NUTS II,2.º quartil,795.0
2022,1C1,Alentejo Litoral,NUTS III,2.º quartil,1431.0
2022,1C10211,Odemira,Concelho,2.º quartil,1477.0
2022,1C11501,Alcácer do Sal,Concelho,2.º quartil,1151.0
2022,1C11505,Grândola,Concelho,2.º quartil,1722.0
2022,1941816,São Pedro do Sul,Concelho,2.º quartil,794.0
2022,1941817,Sátão,Concelho,2.º quartil,481.0
2022,1941821,Tondela,Concelho,2.º quartil,639.0
2022,1941822,Vila Nova de Paiva,Concelho,2.º quartil,279.0
2022,1941823,Viseu,Concelho,2.º quartil,1150.0
2022,1941824,Vouzela,Concelho,2.º quartil,439.0
2022,195,Beira Baixa,NUTS III,2.º quartil,618.0
2022,1910101,Águeda,Concelho,2.º quartil,876.0
2022,1910102,Albergaria-a-Velha,Concelho,2.º quartil,970.0
2022,1910105,Aveiro,Concelho,2.º quartil,1613.0
2022,1910108,Estarreja,Concelho,2.º quartil,857.0
2022,1910110,Ílhavo,Concelho,2.º quartil,1450.0
2022,1910112,Murtosa,Concelho,2.º quartil,1045.0
2022,1910114,Oliveira do Bairro,Concelho,2.º quartil,922.0
2022,1910115,Ovar,Concelho,2.º quartil,1241.0
2022,1910117,Sever do Vouga,Concelho,2.º quartil,487.0
2022,1910118,Vagos,Concelho,2.º quartil,1162.0
2022,192,Região de Coimbra,NUTS III,2.º quartil,1043.0
2022,1920111,Mealhada,Concelho,2.º quartil,869.0
2022,1920601,Arganil,Concelho,2.º quartil,473.0
2022,1920602,Cantanhede,Concelho,2.º quartil,803.0
2022,1920603,Coimbra,Concelho,2.º quartil,1664.0
2022,1920604,Condeixa-a-Nova,Concelho,2.º quartil,1054.0
2022,1920605,Figueira da Foz,Concelho,2.º quartil,1208.0
2022,1920606,Góis,Concelho,2.º quartil,538.0
2022,1920607,Lousã,Concelho,2.º quartil,855.0
2022,1920608,Mira,Concelho,2.º quartil,1182.0
2022,1920609,Miranda do Corvo,Concelho,2.º quartil,642.0
2022,1920610,Montemor-o-Velho,Concelho,2.º quartil,760.0
2022,2004701,Horta,Concelho,2.º quartil,1049.0
2022,2004801,Lajes das Flores,Concelho,2.º quartil,597.0
2022,2004802,Santa Cruz das Flores,Concelho,2.º quartil,
2022,2004901,Corvo,Concelho,2.º quartil,
2022,3,Região Autónoma da Madeira,NUTS I,2.º quartil,1571.0
2022,30,Região Autónoma da Madeira,NUTS II,2.º quartil,1571.0
2022,300,Região Autónoma da Madeira,NUTS III,2.º quartil,1571.0
