ano,geocod,regiao,nivel,quartil,renda_m2
2022,1960913,Trancoso,Concelho,3.º quartil,3.19
2022,1D2,Médio Tejo,NUTS III,1.º quartil,3.19
2022,1C40714,Vila Viçosa,Concelho,2.º quartil,3.2
2022,1190312,Vila Nova de Famalicão,Concelho,1.º quartil,3.21
2022,1920617,Vila Nova de Poiares,Concelho,2.º quartil,3.21
2022,1960501,Belmonte,Concelho,3.º quartil,3.21
2022,11C0106,Castelo de Paiva,Concelho,2.º quartil,3.22
2022,11C1804,Cinfães,Concelho,2.º quartil,3.22
2022,1941817,Sátão,Concelho,3.º quartil,3.22
2022,2,Região Autónoma dos Açores,NUTS I,1.º quartil,3.22
2022,20,Região Autónoma dos Açores,NUTS II,1.º quartil,3.22
2022,200,Região Autónoma dos Açores,NUTS III,1.º quartil,3.22
2022,1931008,Figueiró dos Vinhos,Concelho,2.º quartil,3.23
2022,1D11104,Cadaval,Concelho,1.º quartil,3.23
2022,1960903,Celorico da Beira,Concelho,3.º quartil,3.24
2022,11E0406,Miranda do Douro,Concelho,3.º quartil,3.25
2022,1920610,Montemor-o-Velho,Concelho,1.º quartil,3.25
2022,11C,Tâmega e Sousa,NUTS III,2.º quartil,3.26
2022,1D11005,Bombarral,Concelho,1.º quartil,3.26
2022,1111606,Ponte da Barca,Concelho,2.º quartil,3.29
2022,11E0405,Macedo de Cavaleiros,Concelho,3.º quartil,3.29
2022,1910112,Murtosa,Concelho,1.º quartil,3.29
2022,1920601,Arganil,Concelho,2.º quartil,3.29
2022,1941811,Penalva do Castelo,Concelho,2.º quartil,3.29
2022,1931002,Alvaiázere,Concelho,3.º quartil,3.3
2022,1D31404,Alpiarça,Concelho,2.º quartil,3.3
2022,1190307,Fafe,Concelho,2.º quartil,3.31
2022,1910118,Vagos,Concelho,1.º quartil,3.32
2022,1920604,Condeixa-a-Nova,Concelho,1.º quartil,3.32
2022,1910114,Oliveira do Bairro,Concelho,1.º quartil,3.33
2022,1D31414,Rio Maior,Concelho,1.º quartil,3.33
2022,11C1301,Amarante,Concelho,2.º quartil,3.35
2022,1920608,Mira,Concelho,2.º quartil,3.36
2022,11D0914,Vila Nova de Foz Côa,Concelho,3.º quartil,3.37
2022,1931004,Batalha,Concelho,1.º quartil,3.38
2022,11B1712,Valpaços,Concelho,3.º quartil,3.39
2022,1910102,Albergaria-a-Velha,Concelho,1.º quartil,3.39
2022,1941810,Oliveira de Frades,Concelho,2.º quartil,3.39
2022,11D1805,Lamego,Concelho,2.º quartil,3.4
2022,1920615,Soure,Concelho,2.º quartil,3.4
2022,1C3,Alto Alentejo,NUTS III,2.º quartil,3.4
2022,1190309,Póvoa de Lanhoso,Concelho,2.º quartil,3.42
2022,1920614,Penela,Concelho,2.º quartil,3.42
2022,1C10211,Odemira,Concelho,1.º quartil,3.42
2022,1C20210,Moura,Concelho,2.º quartil,3.42
2022,192,Região de Coimbra,NUTS III,1.º quartil,3.43
2022,1D21402,Alcanena,Concelho,2.º quartil,3.43
2022,196,Beiras e Serra da Estrela,NUTS III,2.º quartil,3.44
2022,111,Alto Minho,NUTS III,1.º quartil,3.46
2022,11D1714,Vila Real,Concelho,1.º quartil,3.46
2022,11D1807,Moimenta da Beira,Concelho,3.º quartil,3.46
2022,1920613,Penacova,Concelho,3.º quartil,3.46
2022,1950509,Sertã,Concelho,2.º quartil,3.46
2022,11D0409,Torre de Moncorvo,Concelho,3.º quartil,3.47
2022,193,Região de Leiria,NUTS III,1.º quartil,3.48
2022,1D21421,Ourém,Concelho,1.º quartil,3.48
2022,11E0402,Bragança,Concelho,2.º quartil,3.49
